content,title,url,description
"Oliver Taylor Hawkins (February 17, 1972 Â¨C March 25, 2022) was an American musician who was the drummer and a vocalist of the rock band Foo Fighters, sharing vocals with Dave Grohl. He joined the band in 1997, and remained the band's drummer until his sudden death in 2022. He recorded eight studio albums with Foo Fighters between 1999 and 2021.[1] Before joining the band, he was a touring drummer for Sass Jordan and Alanis Morissette, as well as the drummer of the progressive experimental band Sylvia.[2]

In 2004, Hawkins formed his own side project, Taylor Hawkins and the Coattail Riders, in which he played drums and sang, releasing three studio albums between 2006 and 2019.[3] He formed the supergroup NHC with Jane's Addiction members Dave Navarro and Chris Chaney in 2020, where he also took on lead vocal and drumming duties.[4]

One year before his death, Hawkins was inducted into the Rock and Roll Hall of Fame in 2021 as a member of Foo Fighters.[5] He was voted ""Best Rock Drummer"" in 2005 by the British drumming on magazine Rhythm. After his death in March 2022, the Foo Fighters and his family announced two tribute shows, which took place in September 2022.",Taylor Hawkins,https://en.wikipedia.org/wiki/Taylor_Hawkins,
"Lahaina, LÂ¨Â¡hainÂ¨Â¡ (Hawaiian: Lahaina, Hawaiian: [l??h?jn?], /l??ha?n?/, old var. LÂ¨Â¡hainÂ¨Â¡) is a census-designated place (CDP) in Maui County, Hawaii, United States. On the northwest coast of the island of Maui, it encompasses Lahaina town and the Kaanapali and Kapalua beach resorts. At the 2020 census (before the 2023 wildfire), Lahaina had a resident population of 12,702. The CDP spans the coast along Hawaii Route 30 from a tunnel at the south end, through Olowalu, and to the CDPs of Kaanapali and Napili-Honokowai to the north.

On August 8Â¨C9, 2023, a series of wildfires destroyed approximately 80% of Lahaina.[2] As of June 24, 2024, 102 deaths had been confirmed, with many victims identified by name.[3]","Lahaina, Hawaii","https://en.wikipedia.org/wiki/Lahaina,_Hawaii",
"The 2022 AFL Grand Final was an Australian rules football match contested between Geelong and the Sydney Swans at the Melbourne Cricket Ground on 24 September 2022. It was the 127th grand final of the Australian Football League (AFL), staged to determine the premiers of the 2022 AFL season. The match, attended by 100,024 spectators, was won by Geelong by a margin of 81 points, marking the club's tenth VFL/AFL premiership. Isaac Smith of Geelong won the Norm Smith Medal as the player judged best on ground.",2022 AFL Grand Final,https://en.wikipedia.org/wiki/2022_AFL_Grand_Final,
"Hurricane Hilary was a large and powerful Pacific hurricane in August 2023 that brought torrential rainfall and gusty winds to the Pacific Coast of Mexico, the Baja California Peninsula, and the Southwestern United States, resulting in widespread flooding and mudslides. The cyclone was the eighth named storm, sixth hurricane, and fourth major hurricane of the 2023 Pacific hurricane season.[nb 1] Hilary originated from a tropical wave south of Mexico on August 16, and strengthened into a hurricane a day later while paralleling the southwest coast of Mexico. The hurricane underwent rapid intensification, reaching maximum sustained winds of 140 mph (220 km/h) and a central pressure of 940 mbar (27.76 inHg) on August 18, making it a Category 4 on the Saffir-Simpson scale. After environmental conditions became unfavorable, Hilary weakened as it approached land, making landfall on August 20 as a tropical storm in San QuintÂ¨Âªn along the western Baja California peninsula. Hilary became a post-tropical cyclone over land, before being absorbed into a new non-tropical low-pressure area early on August 21.

The threat from Hurricane Hilary prompted widespread and varied preparations. In Mexico, thousands of people evacuated to shelters as ports closed along the coast. In anticipation of ""catastrophic and life-threatening flooding"", the National Hurricane Center (NHC) issued its first-ever tropical storm warning for Southern California, extending from the MexicoÂ¨CUnited States border to just north of Los Angeles. The Weather Prediction Center and various National Weather Service offices issued forecasts related to the rainfall potential, affecting about 26 million people across Arizona, California, Nevada, and Utah.

In Mexico, the hurricane killed three people and left at least 250 million pesos (US$14.7 million) in damage.[nb 2] Power outages affected 315,929 people in the country, although most service was restored within four days. The storm left behind flooded roads, mudslides and downed trees in the Baja California peninsula and in Southern California. Some areas of the latter region received up to 600% of their annual rainfall averages for the month of August. The floods killed one person in San Bernardino County, California. The estimated damage total in the United States was US$900 million, much of it in Inyo County, California, where most of the roads in Death Valley National Park were damaged by floods. The park was closed for two months, its longest ever closure. Hilary broke records in four U.S. states for wettest tropical cyclone or its remnants.",Hurricane Hilary,https://en.wikipedia.org/wiki/Hurricane_Hilary,
,Typhoon Hinnamnor,https://en.wikipedia.org/wiki/Typhoon_Hinnamnor,
"The thirty-first season of Dancing with the Stars premiered on Disney+ on September 19, 2022 and is streaming only on Disney+[1][2] and concluded on November 21, 2022.[3] This season marked the first live competition show to air on the streaming platform and the first season to not air on ABC.[4] Tyra Banks returned as host, while season 19 champion Alfonso Ribeiro joined as co-host.

Social media personality Charli D'Amelio and Mark Ballas were crowned the champions, while The Bachelorette star Gabby Windey and Val Chmerkovskiy finished in second place, comedian Wayne Brady and Witney Carson finished in third place, and drag queen Shangela and Gleb Savchenko finished in fourth.

This marked the last season for host Tyra Banks[5] and longtime judge Len Goodman, who retired at the conclusion of the season, prior to his death five months later.",Dancing with the Stars (American season 31),https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_31),
"Liga 1 (English: League 1), also known as BRI Liga 1 for sponsorship reasons with Bank Rakyat Indonesia,[1] is the men's top professional football division of the Indonesian football league system. Administered by the PT Liga Indonesia Baru (lit.?'New Indonesian League, LLC'), Liga 1 is contested by 18 clubs and operates on a system of promotion and relegation with Liga 2.

Top-flight professional league in Indonesia started from the 2008Â¨C09 season onwards, initially under the name Indonesia Super League until 2015. Prior to the 2008 reforms, the national competitions used a tournament format. Liga 1 started in 2017 as a rebranding of the league.[2]

Forty-two teams have competed in the top-tier league of Indonesian football since the start of the modern era in 2008 as the Indonesia Super League. Eight teams have been crowned champions, with Persipura Jayapura winning the title three times (2009, 2011, 2013), the most among the teams.",Liga 1 (Indonesia),https://en.wikipedia.org/wiki/Liga_1_(Indonesia),
"Miss Grand International 2022 was the 10th Miss Grand International pageant, held at the Sentul International Convention Center in Bogor, West Java, Indonesia, on 25 October 2022.[1][2]

At the end of the event, Nguy?n ThÂ¨Â²c ThÂ¨Â´y TiÂ¨Âºn of Vietnam crowned Isabella Menin of Brazil as Miss Grand International 2022. It is the first victory of Brazil in the pageant.[3][4]

Contestants from sixty-eight countries and territories competed in this year's pageant. The pageant was hosted by Thai television personality Matthew Deane. Indonesian singer Rossa performed in this year's pageant.",Miss Grand International 2022,https://en.wikipedia.org/wiki/Miss_Grand_International_2022,
"2022 Crimean Bridge explosion was an event during the Russian invasion of Ukraine, on 8 October 2022, at 6:07 a.m., when a fire broke out on the Crimean Bridge as a result of an explosion of a bomb loaded onto a truck, which occurred on the road bridge, on the westbound vehicle lanes running from Russia to Kerch in Russian-occupied Crimea. Two two-lane vehicular spans of the bridge collapsed into the water. Two adjacent eastbound lanes on a separate structure survived. The railway bridge was also damaged by a railway tanker car that caught fire. Five people were killed. Following the incident, the Investigative Committee of Russia launched an investigation.

The damage reduced the transport capacity of the bridge, which is being used to supply Russian troops in Crimea during the invasion of Ukraine. The explosion occurred the day after the 70th birthday of Russian President Vladimir Putin and one week after the announcement of the annexation of four Ukrainian regions by Russia. At the time, no-one claimed responsibility for the explosion and Volodymyr Zelenskyy said that the Ukrainian government ""did not order"" it.[1] However, in July 2023, Ukraine's Deputy Minister of Defense Hanna Maliar acknowledged Ukraine had conducted the attack ""in order to break the logistics of the Russians"".[2] The Security Service of Ukraine confirmed that Ukraine was behind the attack.[3]

Russian officials and a ""senior Ukrainian official"" speaking to The New York Times stated the explosion was from a bomb loaded onto a truck.[4] The BBC said it was more likely to have been caused by a maritime drone.[5] The Russian Federal Security Service detained five Russian citizens and three people from Ukraine and Armenia, who were accused of organising the attack.[6] In August 2023, Vasyl Malyuk, head of the Security Service of Ukraine, gave an interview to The New Voice of Ukraine in which he detailed how a truck carrying explosives was used to cause the explosion.",2022 Crimean Bridge explosion,https://en.wikipedia.org/wiki/2022_Crimean_Bridge_explosion,
"Sardar (transl.?Chief) is a 2022 Indian Tamil-language spy action-thriller film written and directed by P. S. Mithran and produced by S. Lakshman Kumar under his production banner Prince Pictures.[4] The film stars Karthi in a dual role alongside Raashii Khanna, Rajisha Vijayan, Chunky Pandey, Laila, Rithvik, Munishkanth, Avinash, Yugi Sethu and Balaji Sakthivel in pivotal roles.[5][6] The music was composed by G. V. Prakash Kumar, with cinematography handled by George C. Williams and editing done by Ruben. The film marks Hindi film actor Chunky Panday's debut and Laila's comeback to Tamil cinema.[7][8]

Principal photography commenced in April 2021 and took place in locations across Chennai, Mumbai, Mysore, Azerbaijan and Georgia. Sardar was released by theatrically on 21 October 2022, prior to the Diwali week, with received highly positive reviews from critics and audience, and critically and commercially successful, Sardar has a worldwide gross of over ?103.50 crore (US$12 million) worldwide, making it one of the top-grossing Tamil films of 2022.[9][10] A sequel is in development.",Sardar (2022 film),https://en.wikipedia.org/wiki/Sardar_(2022_film),
"On 21 November 2022, at 13:21 WIB (UTC+07:00), a Mww 5.6 earthquake struck near Cianjur in West Java, Indonesia. The strike-slip earthquake occurred with a focal depth of 11 km (6.8 mi). Between 335 and 635 people died,[a] 7,729 were injured and five remain missing.[2] More than 62,628 homes were damaged across 16 districts in Cianjur Regency and the surrounding region. It is the deadliest earthquake to affect Indonesia since the 2018 Sulawesi earthquake.[3] Damage evaluated after the event earned it a maximum Modified Mercalli intensity of VIII (Severe).",2022 West Java earthquake,https://en.wikipedia.org/wiki/2022_West_Java_earthquake,
"On 2 June 2023, three trains collided in Balasore district in the east Indian state of Odisha. The accident occurred around 19:00 IST when Coromandel Express, a passenger train, collided with a stationary goods train near Bahanaga Bazar railway station on the HowrahÂ¨CChennai main line. Due to the high speed of the passenger train and the heavy tonnage of the goods train, the impact resulted in 21 coaches of the Coromandel Express derailing and three of those collided with the oncoming SMVT BengaluruÂ¨CHowrah Superfast Express on the adjacent track.

296 people were killed in the crash and more than 1,200 were injured. It was one of the deadliest railway accidents in India. National Disaster Response Force (NDRF) and Odisha Disaster Rapid Action Force (ODRAF) were involved in the search and recovery efforts, assisted by other government agencies and the general public. The injured were treated at local hospitals in the region. In the aftermath, operations of more than 150 trains were impacted, with the cancellation of at least 48 trains. The rail services resumed on the line on 5 June after restoration work.

Preliminary investigation revealed that the Coromandel Express entered a passing loop line instead of the main line at full speed and crashed into the stationary goods train. In the aftermath, Railway Minister stated that a change in electronic interlocking due to an error in electronic signalling, caused the crash. He also said that sabotage was suspected and the railway board had recommended a Central Bureau of Investigation (CBI)-led probe. On 7 July 2023, the CBI arrested three railway officials believed to be responsible for the accident.

Despite the statement of the railway authorities that the accident was not a reflection of the safety issues in the system, various questions were raised by journalists, politicians and retired railway employees. The railway lines were not equipped with the Kavach train protection system. It was made aware that a similar signalling error had been reported earlier in February 2023 and a December 2022 report by the Comptroller and Auditor General of India had warned that the safety department of the railways lacked adequate staffing and funding, suffered from misuse of funds and that these could impact the quality of maintenance.",2023 Odisha train collision,https://en.wikipedia.org/wiki/2023_Odisha_train_collision,
"There is a long tradition in classical music of writing music in sets of pieces that cover all the major and minor keys of the chromatic scale. These sets typically consist of 24 pieces, one for each of the major and minor keys (sets that comprise all the enharmonic variants include 30 pieces).

Examples include Johann Sebastian Bach's The Well-Tempered Clavier and FrÂ¨Â¦dÂ¨Â¦ric Chopin's 24 Preludes, Op. 28. Such sets are often organized as preludes and fugues or designated as preludes or Â¨Â¦tudes. Some composers have restricted their sets to cover only the 12 major keys or the 12 minor keys; or only the flat keys (Franz Liszt's Transcendental ?tudes) or the sharp keys (Sergei Lyapunov's Op. 11 set). In yet another type, a single piece may progressively modulate through a set of tonalities, as occurs in Ludwig van Beethoven's Two Preludes through all twelve major keys, Op. 39.

The bulk of works of this type have been written for piano solo, but there also exist sets for piano 4-hands; two pianos; organ; guitar; two guitars; flute; recorder; oboe; violin solo; violin and piano; cello solo; cello and piano; voice and piano; and string quartet. There are examples of attempts to write full sets that, for one reason or another, were never completed (Josef Rheinberger's organ sonatas, Dmitri Shostakovich's string quartets, CÂ¨Â¦sar Franck's L'Organiste).",Music written in all major and/or minor keys,https://en.wikipedia.org/wiki/Music_written_in_all_major_and/or_minor_keys,
"Speak Now (Taylor's Version) is the third re-recorded album by the American singer-songwriter Taylor Swift, released on July 7, 2023, by Republic Records. A re-recording of Swift's third studio album, Speak Now (2010), it is part of her re-recording projects following the 2019 dispute over the ownership of her back catalog. Swift announced the album at the Nashville concert of her sixth headlining tour, the Eras Tour, on May 5, 2023.

Speak Now (Taylor's Version) consists of songs written solely by Swift. She produced the re-recorded versions of 16 tracks from the deluxe edition of Speak Now with Christopher Rowe, and six previously-unreleased ""From the Vault"" tracks with Jack Antonoff and Aaron Dessner. Two vault tracks respectively features Fall Out Boy and Hayley Williams. A country pop and pop rock album, Speak Now (Taylor's Version) incorporates various rock styles such as emo, pop-punk, and alternative rock. Its sound is characterized by prominent electric guitars, dynamic drums, and strings. Reflecting Swift's adolescence, the songs document emotions of affection, grievance, and heartbreak, forming a loose concept album of unspoken confessions.

Music critics praised Swift's emotionally engaging songwriting in the album and the matured tone of her vocal performances, although the alteration to a lyric in the track ""Better than Revenge"" had a mixed response. Speak Now (Taylor's Version) reached number one on albums charts of Australia, Canada, Spain, Sweden, the United Kingdom, among others. In the United States, it was Swift's 12th album to top the Billboard 200 chart, breaking Barbra Streisand's all-time record for the most number-one albums by a female artist. All 22 of its tracks charted on the Billboard Hot 100, with ""I Can See You"", which was accompanied by a music video, becoming the highest-peaking at number five.",Speak Now (Taylor's Version),https://en.wikipedia.org/wiki/Speak_Now_(Taylor's_Version),
"Mass. and Cass, also known as Methadone Mile or Recovery Road, is an area in Boston, Massachusetts, located at and around the intersection of Melnea Cass Boulevard and Massachusetts Avenue.[1] Due to its concentration of neighborhood services providing help, the area around Mass. and Cass has long attracted a large number of people struggling with homelessness and drug addiction, especially after the closure of facilities on Long Island in Boston Harbor.[2][3][1] It has been characterized as ""the epicenter of the region's opioid addiction crisis"".[4][5]

It was, for many years, a tent city and open air drug market. The tents were removed in the fall of 2023. As of September 2024, the tents were mostly gone but it was still a gathering place for the homeless and drug users.[6] It is located in the area of Newmarket, an industrial part of Boston that includes some of Dorchester, South Boston, Roxbury, Boston, and the South End.",Mass and Cass,https://en.wikipedia.org/wiki/Mass_and_Cass,
"Silicon Valley Bank (SVB) is a commercial bank division of First Citizens BancShares. The bank was previously the primary subsidiary of SVB Financial Group, a publicly traded bank holding company that had offices in 15 U.S. states and over a dozen international jurisdictions.[7][8][9]

As a regional bank in the San Francisco Bay Area, SVB offers services specifically designed to meet the needs of the tech industry, and soon became the largest bank by deposits in Silicon Valley and the preferred bank of almost half of all venture-backed tech startups.[10][11] In March 2023, after central bankÂ¨Cendorsed interest rate hikes during the 2021Â¨C2022 inflation spike,[12][13][14][15] there was a bank run on its deposits, which led to its collapse and seizure on March 10, 2023 by the California Department of Financial Protection and Innovation (DFPI), its regulator.[16] Citing inadequate liquidity and insolvency, state officials at the DFPI appointed the Federal Deposit Insurance Corporation (FDIC) receiver of the bank.[17] This was, at the time, the second-largest bank failure in U.S. history, later surpassed by the collapse of First Republic Bank during the March 2023 United States bank failures.[18][19]

On March 12, 2023, a joint statement was issued by Secretary of the Treasury Janet Yellen, Federal Reserve Chairman Jerome Powell, and FDIC Chairman Martin Gruenberg, stating that all depositors at SVB would be fully protected and would have access to both insured and uninsured deposits starting the following Monday, March 13.[20][21] The FDIC then established a bridge bank successor, Silicon Valley Bridge Bank, N.A., which quickly assumed ongoing business.[22] On March 27, 2023, First Citizens Bank & Trust Company, a subsidiary of First Citizens BancShares, assumed all customer deposits and acquired all loans of Silicon Valley Bridge Bank from the FDIC and began operating all SVB branches.",Silicon Valley Bank,https://en.wikipedia.org/wiki/Silicon_Valley_Bank,
"Yeoh Choo Kheng PSM (Chinese: ÃÃ®ÃÃÃÃ­; born 6 August 1962),[1][2] better known by the stage name Michelle Yeoh, is a Malaysian actress. She is the recipient of various accolades, including an Academy Award, a Golden Globe Award, and two Screen Actors Guild Awards. Credited as Michelle Khan in her early films in Hong Kong, she rose to fame in the 1980s and 1990s after starring in Hong Kong action and martial arts films where she performed her own stunts. These roles included Yes, Madam (1985), Magnificent Warriors (1987), Police Story 3: Super Cop (1992), The Heroic Trio, Tai Chi Master (both 1993), and Wing Chun (1994).

After moving to the United States, Yeoh gained international recognition for starring in the James Bond film Tomorrow Never Dies (1997) and in Ang Lee's wuxia martial arts film Crouching Tiger, Hidden Dragon (2000), the latter for which she was nominated for the BAFTA Award for Best Actress in a Leading Role. Her Hollywood career progressed with roles in Memoirs of a Geisha (2005), Sunshine (2007), and The Mummy: Tomb of the Dragon Emperor (2008). She continued to appear in Hong Kong and Chinese cinema, starring in True Legend, Reign of Assassins (both 2010), Crouching Tiger, Hidden Dragon: Sword of Destiny (2016), and Master Z: Ip Man Legacy (2018). In 2011, she portrayed Aung San Suu Kyi in the British biographical film The Lady.

Yeoh played supporting roles in the romantic comedies Crazy Rich Asians (2018) and Last Christmas (2019), as well as in the Marvel Cinematic Universe film Shang-Chi and the Legend of the Ten Rings (2021) and the television series Star Trek: Discovery (2017Â¨C2020). For her starring role as Evelyn Quan Wang, an overwhelmed matriarch navigating the multiverse in Everything Everywhere All at Once (2022),[3] she won the Academy Award for Best Actress, becoming the first Asian[a] to win the category, and the first Malaysian to win an Academy Award. Her voice acting work has included Kung Fu Panda 2 (2011), Minions: The Rise of Gru, Paws of Fury: The Legend of Hank (both 2022), Transformers: Rise of the Beasts (2023), and The Tiger's Apprentice (2024).

The film review aggregation website Rotten Tomatoes ranked her the greatest action heroine of all time in 2008.[6] In 1997, she was chosen by People as one of the ""50 Most Beautiful People in the World"",[7] and in 2009 the same magazine listed her as one of the ""35 All-Time Screen Beauties"".[8] In 2022, Time named her one of the world's 100 most influential people on its annual listicle and its Icon of the Year.[9][10] In 2024, she received the Presidential Medal of Freedom.",Michelle Yeoh,https://en.wikipedia.org/wiki/Michelle_Yeoh,
"Starship flight test 1 was the maiden flight of the integrated SpaceX Starship launch vehicle. SpaceX performed the flight test on April 20, 2023.[3] The prototype vehicle was destroyed less than four minutes after lifting off from the SpaceX Starbase in Boca Chica, Texas.[4] The vehicle became the most powerful rocket ever flown, breaking the half-century-old record held by the Soviet Union's N1 rocket.[5] The launch was the first ""integrated flight test,"" meaning it was the first time that both the Super Heavy booster and the Starship spacecraft flew together as a fully integrated Starship launch vehicle.[6]

The launch was part of SpaceX's Starship development program, which follows an iterative and incremental approach involving frequent, and often destructive, test flights of prototype vehicles.[7] Before the launch, SpaceX officials said they would measure the mission's success ""by how much we can learn"" and that various planned mission events ""are not required for a successful test"".[8] The flight was generally regarded as having furthered Starship's development, and a variety of public officials congratulated SpaceX, including NASA administrator Bill Nelson and European Space Agency Director General Josef Aschbacher.[9][10]

It was planned for the Starship spacecraft to complete nearly one orbit around the Earth before reentering the atmosphere, performing a controlled landing and splashing down in the Pacific Ocean near Hawaii.[11] The Super Heavy booster was to have performed a similar landing in the Gulf of Mexico, about 20 mi (30 km) off the Texas coast about 8 minutes after liftoff.[11]

The rocket lifted off at 13:33 UTC (8:33 am CDT, local time at the launch site) from SpaceX's private launch site near Boca Chica, Texas. The liftoff damaged the launch pad[12] and its surrounding infrastructure,[13] which SpaceX said was unexpected.[14] Some debris spread into Boca Chica State Park. Three engines did not start or aborted before liftoff, and several others failed during the flight.[15] The vehicle passed max q and entered supersonic flight, but, due to a lack of thrust or thrust vector control, no attempt was made at stage separation.[15] Starship began to tumble, triggering the autonomous flight termination system (AFTS), which took 40 seconds to destroy the vehicle, nearly 4 minutes into the flight.[16][15]

After the test, the Federal Aviation Administration (FAA) grounded the launch program pending results of a standard Â¡Â°mishap investigationÂ¡Â± overseen by the agency and performed by SpaceX.[17] The FAA said that a return to flight would depend on the agency's determination that future launches would not affect public safety.[18] In August 2023, SpaceX submitted to the FAA the 63 ""corrective actions"" that it would need to take before another Starship launch would be allowed.[19][20][21] Dust scattered by the launch initially caused some health concerns, but was later found by a laboratory to be ordinary beach sand, not posing a health hazard.[17][22]

A second flight test of the Starship vehicle occurred on November 18, 2023.[23] The launch did not repeat issues encountered on the first flight and the vehicle successfully performed stage separation, but both vehicles were lost thereafter.",SpaceX Starship Integrated Flight Test,https://en.wikipedia.org/wiki/SpaceX_Starship_Integrated_Flight_Test,
"Vande Bharat Express is a medium-distance superfast express service operated by Indian Railways. It is a reserved, air-conditioned chair car service connecting cities that are less than 800 km (500 mi) apart or take less than ten hours to travel with existing services. The train was a part of the 'Make in India' initiative by the government and entered commercial service on 15 February 2019.

The trainsets are self-propelling Electric Multiple Units (EMU)s with eight or sixteen coaches. The trainset was designed and manufactured by Integral Coach Factory in Chennai. Introduced in 2018, the trainsets achieved semi-high speeds of 183 km/h (114 mph) on trials, and crossed target trial speed of 180 km/h (110 mph) on trials, but the maximum operational speed is 160 km/h (99 mph) which is achieved by the Rani Kamalapati (Habibganj)Â¨CHazrat Nizamuddin Vande Bharat Express and Hazrat Nizamuddin-Khajuraho Vande Bharat Express on the TughlakabadÂ¨CAgra section.",Vande Bharat Express,https://en.wikipedia.org/wiki/Vande_Bharat_Express,
"Funeral for Yesterday is the fourth studio album by Canadian heavy metal band Kittie, released on February 20, 2007. It was the only album released through the band's own record label, X of Infamy Records, and Merovingian Music (MRV). The album was produced by Jack Ponti, and was recorded at RetroMedia Sound Studios in Red Bank, New Jersey, between July and August 2006. Loosely themed around the band's demise and rebirth following a period of turmoil, the album saw Kittie transition towards a more melodic and accessible sound while retaining some of their heavier sensibilities, and was also noted for its greater focus on clean singing than on the band's previous releases. It was the first Kittie album with guitarist Tara McLeod, and only with bassist Trish Doan.

Funeral for Yesterday received generally favourable reviews from critics, who highlighted the band's newfound chemistry and growth, though its focus on clean singing drew mixed reactions. The album debuted at number 101 on the US Billboard 200 chart, selling just under 9,000 copies in its first week. Its lead single and title track, ""Funeral For Yesterday"", became Kittie's biggest radio hit up to that point, reaching number 40 on the Billboard Mainstream Rock Tracks chart. Kittie toured extensively in support of the album, touring North America, South America and Europe between February 2007 and November 2008.",Funeral for Yesterday,https://en.wikipedia.org/wiki/Funeral_for_Yesterday,
